confirmed,suspected,dead,cured,close_contact,time
36,0,0,2,0,2020/1/26
49,0,0,3,0,2020/1/27
63,0,0,4,0,2020/1/28
86,0,0,4,291,2020/1/29
110,0,0,4,325,2020/1/30
170,0,0,4,327,2020/1/31
196,0,0,5,569,2020/2/1
226,0,0,5,662,2020/2/2
269,0,0,10,904,2020/2/3
289,0,0,13,878,2020/2/4
314,0,0,16,947,2020/2/5
334,0,0,22,958,2020/2/6
351,0,0,31,1045,2020/2/7
364,0,0,31,1153,2020/2/8
368,0,0,46,1104,2020/2/9
375,0,0,56,950,2020/2/10
386,0,0,66,850,2020/2/11
391,0,0,81,665,2020/2/12
400,0,0,94,554,2020/2/13
406,0,0,104,522,2020/2/14
